PF10417.8 C-terminal_domain_of_1-Cys_peroxiredoxin
PF11471.7 Maltoporin_periplasmic_N-terminal_extension
PF00083.23 Sugar_(and_other)_transporter
PF06800.11 Sugar_transport_protein
PF01253.21 Translation_initiation_factor_SUI1
PF16619.4 Unstructured_region_C-term_to_UIM_in_Ataxin3
PF14433.5 SUKH-3_immunity_protein
PF14435.5 SUKH-4_immunity_protein
PF14567.5 SMI1-KNR4_cell-wall
PF14568.5 SMI1-KNR4_cell-wall
PF03846.13 Cell_division_inhibitor_SulA
PF08257.10 Sulfakinin_family
PF00884.22 Sulfatase
PF14707.5 C-terminal_region_of_aryl-sulfatase
PF00916.19 Sulfate_permease_family
PF05584.10 Sulfolobus_plasmid_regulatory_protein
PF00685.26 Sulfotransferase_domain
PF03567.13 Sulfotransferase_family
PF13469.5 Sulfotransferase_family
PF12193.7 Sulfolobus_virus_coat_protein_C_terminal
PF04143.13 Sulphur_transport
PF09037.9 Stf0_sulphotransferase
PF03856.12 Beta-glucosidase_(SUN_family)
PF11414.7 Adenomatous_polyposis_coli_tumour_suppressor_protein
PF11479.7 RNA_silencing_suppressor_P21
PF06687.11 SUR7/PalI_family
PF09312.10 SurA_N-terminal_domain
PF13623.5 SurA_N-terminal_domain
PF13624.5 SurA_N-terminal_domain
PF01975.16 Survival_protein_SurE
PF02104.14 SURF1_family
PF05477.10 Surfeit_locus_protein_2_(SURF2)
PF02077.14 SURF4_family
PF04935.11 Surfeit_locus_protein_6
PF01617.16 Surface_antigen
PF11054.7 Sporozoite_TA4_surface_antigen
PF09006.10 Lung_surfactant_protein_D_coiled-coil_trimerisation
PF07712.11 Stress_up-regulated_Nod_19
PF01805.19 Surp_module
PF12741.6 Susd_and_RagB_outer_membrane_lipoprotein
PF12771.6 Starch-binding_associating_with_outer_membrane
PF14322.5 Starch-binding_associating_with_outer_membrane
PF07980.10 SusD_family
PF14292.5 SusE_outer_membrane_protein
PF16411.4 Outer_membrane_protein_SusF_SusE
PF00084.19 Sushi_repeat_(SCR_repeat)
PF09014.9 Beta-2-glycoprotein-1_fifth_domain
PF12513.7 Mitochondrial_degradasome_RNA_helicase_subunit_C_terminal
PF12752.6 SUZ_domain
PF12901.6 SUZ-C_motif
PF05326.10 Seminal_vesicle_autoantigen_(SVA)
PF08622.9 Svf1-like_N-terminal_lipocalin_domain
PF17187.3 Svf1-like_C-terminal_lipocalin-like_domain
PF15811.4 Small_VCP/p97-interacting_protein
PF12113.7 SVM_protein_signal_sequence
PF17381.1 Seminal_vesicle_secretory_protein_4/5/6
PF10578.8 Seminal_vesicle_protein_repeat
PF15430.5 Single_domain_von_Willebrand_factor_type_C
PF17330.1 SWR1_chromatin-remodelling_complex,subunit_Swc7
PF08549.9 Fungal_domain_of_unknown_function_(DUF1750)
PF07962.11 Replication_Fork_Protection_Component_Swi3
PF07061.10 Swi5
PF02201.17 SWIB/MDM2_domain
PF04434.16 SWIM_zinc_finger
PF04433.16 SWIRM_domain
PF16495.4 SWIRM-associated_region_1
PF16496.4 SWIRM-associated_domain_at_the_N-terminal
PF16498.4 SWIRM-associated_domain_at_the_C-terminal
PF17083.4 Nucleolar_protein_Swm2
PF13753.5 Putative_flagellar_system-associated_repeat
PF17423.1 Swarming_motility_protein
PF04099.11 Sybindin-like_family
PF15233.5 Synaptonemal_complex_central_element_protein_1
PF07348.11 Syd_protein_(SUKH-2)
PF08231.11 SYF2_splicing_factor
PF02383.17 SacI_homology_domain
PF08845.9 Toxin_SymE,type_I_toxin-antitoxin_system
PF12295.7 Symplekin_tight_junction_protein_C_terminal
PF05835.11 Synaphin_protein
PF02078.15 Synapsin,N-terminal_domain
PF02750.13 Synapsin,ATP_binding_domain
PF10581.8 Synapsin_N-terminal
PF00957.20 Synaptobrevin
PF15191.5 Synaptonemal_complex_central_element_protein_3
PF15138.5 Syncollin
PF01034.19 Syndecan_domain
PF06047.10 Ras-induced_vulval_development_antagonist
PF15290.5 Golgi-localised_syntaxin-1-binding_clamp
PF00804.24 Syntaxin
PF10496.8 SNARE-complex_protein_Syntaxin-18_N-terminus
PF11416.7 Syntaxin-5_N-terminal,Sly1p-binding_domain
PF09177.10 Syntaxin_6,N-terminal
PF14523.5 Syntaxin-like_protein
PF11421.7 ATP_synthase_F1_beta_subunit
PF01387.16 Synuclein
PF11089.7 Exopolysaccharide_production_repressor
PF09801.8 Integral_membrane_protein_S_linking_to_the_trans_Golgi_network
PF01023.18 S-100/ICaBP_type_calcium_binding_domain
PF05124.11 S-layer_like_family,C-terminal_region
PF05123.11 S-layer_like_family,N-terminal_region
PF00954.19 S-locus_glycoprotein_domain
PF14928.5 Short_tail_fibre_protein_receptor-binding_domain
PF00907.21 T-box
PF16176.4 T-box_transcription_factor-associated
PF13629.5 Pilus_formation_protein_N_terminal_region
PF16537.4 Type_II_secretion_system_protein_B
PF11356.7 Type_II_secretion_system_protein_C
PF00437.19 Type_II/IV_secretion_system_protein
PF05157.14 Type_II_secretion_system_(T2SS),protein_E,N-terminal_domain
PF00482.22 Type_II_secretion_system_(T2SS),protein_F
PF08334.10 Type_II_secretion_system_(T2SS),protein_G
PF02501.16 Type_II_secretion_system_(T2SS),protein_I
PF11612.7 Type_II_secretion_system_(T2SS),protein_J
PF03934.12 Type_II_secretion_system_(T2SS),protein_K
PF05134.12 Type_II_secretion_system_(T2SS),protein_L
PF04612.11 Type_II_secretion_system_(T2SS),protein_M
PF10741.8 Type_II_secretion_system_(T2SS),protein_M_subtype_b
PF01203.18 Type_II_secretion_system_(T2SS),protein_N
PF12528.7 Type_II_secretion_prepilin_peptidase_dependent_protein_C
PF16549.4 Type_II_secretion_system_(T2SS)_pilotin,S_protein
PF09691.9 Type_II_secretion_system_pilotin_lipoprotein_(PulS_OutS)
PF11439.7 Type_III_secretion_system_filament_chaperone_CesA
PF16535.4 Type_III_cell_invasion_protein_SipB
PF17001.4 Type_III_secretion_basal_body_protein_I,YscI,HrpB,PscI
PF16937.4 Type_III_secretion_system_translocator_protein,HrpF
PF13327.5 Type_III_secretion_system_subunit
PF08988.9 Type_III_secretion_system,cytoplasmic_E_component_of_needle
PF09392.9 Type_III_secretion_needle_MxiH,YscF,SsaG,EprI,PscF,EscF
PF09025.9 YopR,type_III_needle-polymerisation_regulator
PF06416.11 Effector_protein_NleG
PF09198.9 Bacteriophage_T4_beta-glucosyltransferase
PF16724.4 T4-like_virus_Myoviridae_tail_sheath_stabiliser
PF12293.7 Putative_outer_membrane_core_complex_of_type_IVb_secretion
PF11393.7 Type-IV_b_secretion_system,inner-membrane_complex_component
PF12608.7 Type_IVb_secretion,IcmS,effector-recruitment
PF07996.10 Type_IV_secretion_system_proteins
PF02534.13 Type_IV_secretory_system_Conjugative_DNA_transfer
PF16943.4 Cag_pathogenicity_island,type_IV_secretory_system
PF16932.4 Type_IV_secretory_system,conjugal_DNA-protein_transfer
PF12322.7 T4_bacteriophage_base_plate_protein
PF00837.16 Iodothyronine_deiodinase
PF08994.9 T4_gene_Gp59_loader_of_gp41_DNA_helicase_C-term
PF08993.9 T4_gene_Gp59_loader_of_gp41_DNA_helicase
PF07880.10 Bacteriophage_T4_gp9/10-like_protein
PF11649.7 Virus_neck_protein
PF11091.7 Tail-tube_assembly_protein
PF10544.8 T5orf172_domain
PF12790.6 Type_VI_secretion_lipoprotein,VasD,EvfM,TssJ,VC_A0113
PF05638.11 Type_VI_secretion_system_effector,Hcp
PF05947.11 Type_VI_secretion_system,TssF
PF06996.10 Type_VI_secretion,TssG
PF05936.11 Bacterial_Type_VI_secretion,VC_A0110,EvfL,ImpJ,VasE
PF16989.4 Type_VI_secretion,EvfE,EvfF,ImpA,BimE,VC_A0119,VasJ
PF13296.5 Putative_type_VI_secretion_system_Rhs_element_Vgr
PF05591.11 Type_VI_secretion_system,VipA,VC_A0107_or_Hcp2
PF05108.12 Type_VII_secretion_system_ESX-1,transport_TM_domain_B
PF10824.7 Excreted_virulence_factor_EspC,type_VII_ESX_diderm
PF11494.7 Ta0938
PF11513.7 Thermoplasma_acidophilum_protein_TA0956
PF15401.5 Tryptophan-ring_motif_of_head_of_Trimeric_autotransporter_adhesin
PF05010.13 Transforming_acidic_coiled-coil-containing_protein_(TACC)
PF02202.15 Tachykinin_family
PF14517.5 Tachylectin
PF11406.7 Antimicrobial_peptide_tachystatin_A
PF11478.7 Antimicrobial_chitin_binding_protein_tachystatin_B
PF09305.9 TACI,cysteine-rich_domain
PF13400.5 Putative_Flp_pilus-assembly_TadE/G-like
PF07811.11 TadE-like_protein
PF16964.4 Putative_tight_adherence_pilin_protein_F
PF16968.4 Pilus_assembly_protein_TadZ_N-terminal
PF09977.8 Putative_Tad-like_Flp_pilus-assembly
PF14113.5 Type_VI_secretion_system_(T6SS),amidase_effector_protein_4
PF05596.10 Taeniidae_antigen
PF02969.16 TATA_box_binding_protein_associated_factor_(TAF)
PF15333.5 TATA_box-binding_protein-associated_factor_1D
PF14929.5 TAF_RNA_Polymerase_I_subunit_A
PF05236.13 Transcription_initiation_factor_TFIID_component_TAF4_family
PF07571.12 TAF6_C-terminal_HEAT_repeat_domain
PF10406.8 Transcription_factor_TFIID_complex_subunit_8_C-term
PF12020.7 TAFA_family
PF07531.13 NHR1_homology_to_TAF
PF10610.8 Thin_aggregative_fimbriae_synthesis_protein
PF04719.13 hTAFII28-like_protein_conserved_region
PF04658.12 TAFII55_protein_conserved_region
PF12561.7 ToxR_activated_gene_A_lipoprotein
PF08013.10 Tagatose_6_phosphate_kinase
PF16695.4 Type_VI_secretion_system_(T6SS),amidase_immunity_protein
PF09684.9 Phage_tail_protein_(Tail_P2_I)
PF10618.8 Phage_tail_tube_protein
PF17091.4 Inovirus_G7P_protein
PF04822.12 Takusan
PF09141.9 Talin,middle_domain
PF15324.5 Hedgehog_signalling_target
PF03377.12 TAL_effector_repeat
PF00923.18 Transaldolase/Fructose-6-phosphate_aldolase
PF04357.12 TamB,inner_membrane_protein_subunit_of_TAM_complex
PF11640.7 Telomere-length_maintenance_and_DNA_damage_repair
PF05742.11 Transport_and_Golgi_organisation_2
PF15327.5 Tankyrase_binding_protein_C_terminal_domain
PF07519.10 Tannase_and_feruloyl_esterase
PF15386.5 Drosophila_Tantalus-like
PF09162.9 Tap,RNA-binding
PF07265.10 Tapetum_specific_protein_TAP35/TAP44
PF04177.11 TAP42-like_family
PF09718.9 Lambda_phage_tail_tape-measure_protein_(Tape_meas_lam_C)
PF03943.12 TAP_C-terminal_domain
PF09281.9 Taq_polymerase,exonuclease
PF12950.6 TaqI-like_C-terminal_specificity_domain
PF02203.14 Tar_ligand_binding_domain_homologue
PF05296.12 Taste_receptor_protein_(TAS2R)
PF07708.10 Tash_protein_PEST_motif
PF00539.17 Transactivating_regulatory_protein_(Tat)
PF00902.17 Sec-independent_protein_translocase_protein_(TatC)
PF01026.20 TatD_related_DNase
PF03430.12 Trans-activating_transcriptional_regulator
PF16811.4 TRAP_transporter_T-component
PF10518.8 TAT_(twin-arginine_translocation)_pathway_signal_sequence
PF07706.11 Aminotransferase_ubiquitination_site
PF09734.8 RNA_polymerase_III_transcription_factor_(TF)IIIC_subunit
PF02668.15 Taurine_catabolism_dioxygenase_TauD,TfdA_family
PF01925.18 Sulfite_exporter_TauE/SafE
PF01361.20 Tautomerase_enzyme
PF14552.5 Tautomerase_enzyme
PF14832.5 Putative_oxalocrotonate_tautomerase_enzyme
PF02959.15 HTLV_Tax
PF09728.8 Myosin-like_coiled-coil_protein
PF14541.5 Xylanase_inhibitor_C-terminal
PF14543.5 Xylanase_inhibitor_N-terminal
PF17574.1 Inhibitor_of_toxin/antitoxin_system_(Gp4.5)
PF00683.16 TB_domain
PF03134.18 TB2/DP1,HVA22_family
PF02970.15 Tubulin_binding_cofactor_A
PF07986.11 Tubulin_binding_cofactor_C
PF16752.4 Tubulin-specific_chaperone_C_N-terminal_domain
PF12845.6 TBD_domain
PF00352.20 Transcription_factor_TFIID_(or_TATA-binding_protein,TBP)
PF09247.10 TATA_box-binding_protein_binding
PF17484.1 N-Lobe_handle_Tf-binding_protein_B
PF01298.17 C-lobe_and_N-lobe_beta_barrels_of_Tf-binding_protein_B
PF17483.1 C-lobe_handle_domain_of_Tf-binding_protein_B
PF07106.12 Tat_binding_protein_1(TBP-1)-interacting_protein_(TBPIP)
PF15517.5 TBP-interacting_protein_N-terminus
PF03558.12 TBSV_core_protein_P21/P22
PF12598.7 T-box_transcription_factor
PF15063.5 Thyroid_cancer_protein_1
PF12919.6 TcdA/TcdB_catalytic_glycosyltransferase_domain
PF12920.6 TcdA/TcdB_pore_forming_domain
PF12918.6 TcdB_toxin_N-terminal_helical_domain
PF12255.7 Insecticide_toxin_TcdB_middle/C-terminal_region
PF12256.7 Insecticide_toxin_TcdB_middle/N-terminal_region
PF12104.7 T_cell_CD4_receptor_C_terminal_region
PF04910.13 Transcriptional_repressor_TCF25
PF16967.4 E-set_like_domain
PF01840.16 TCL1/MTCP1_family
PF10452.8 TORC1_subunit_TCO89
PF03634.12 TCP_family_transcription_factor
PF07202.12 T-complex_protein_10_C-terminus
PF05794.12 T-complex_protein_11
PF05946.11 Toxin-coregulated_pilus_subunit_TcpA
PF12648.6 TcpE_family
PF06340.10 Vibrio_cholerae_toxin_co-regulated_pilus_biosynthesis_protein_F
PF10671.8 Toxin_co-regulated_pilus_biosynthesis_protein_Q
PF17456.1 Toxin-coregulated_pilus_protein_S
PF03638.14 Tesmin/TSO1-like_CXC_domain,cysteine-rich_domain
PF14944.5 Tongue_Cancer_Chemotherapy_Resistant_Protein_1
PF11628.7 T-cell_surface_glycoprotein_CD3_zeta_chain
PF01970.15 Tripartite_tricarboxylate_transporter_TctA_family
PF07331.10 Tripartite_tricarboxylate_transporter_TctB_family
PF03401.13 Tripartite_tricarboxylate_transporter_family_receptor
PF03645.12 Tctex-1_family
PF00838.16 Translationally_controlled_tumour_protein
PF17084.4 Topoisomerase_I_damage_affected_protein_11
PF03347.12 Vibrio_thermostable_direct_hemolysin
PF15683.4 Testis_development-related_protein
PF01285.17 TEA/ATTS_domain_family
PF07404.10 Telomere-binding_protein_beta_subunit_(TEBP_beta)
PF09300.9 Tectiviridae,minor_capsid
PF08341.10 Thioester_domain
PF12818.6 dsDNA_viral_tegument_protein
PF03848.13 Tellurite_resistance_protein_TehB
PF03148.13 Tektin_family
PF05816.10 Toxic_anion_resistance_protein_(TelA)
PF09470.9 Telethonin_protein
PF12009.7 Telomerase_ribonucleoprotein_complex_-_RNA_binding_domain
PF10193.8 Telomere_length_regulation_protein
PF16684.4 Telomere_resolvase
PF13019.5 Telomere_stability_and_silencing
PF13297.5 Telomere_stability_C-terminal
PF12658.6 Telomere_capping,CST_complex_subunit
PF15490.5 Telomere-capping,CST_complex_subunit
PF03070.15 TENA/THI-4/PQQC_family
PF05733.10 Tenuivirus/Phlebovirus_nucleocapsid_protein
PF04876.11 Tenuivirus_major_non-capsid_protein
PF05310.11 Tenuivirus_movement_protein
PF03300.12 Tenuivirus_non-structural,movement_protein_NS4
PF06656.10 Tenuivirus_PVC2_protein
PF06484.11 Teneurin_Intracellular_Region
PF05386.10 TEP1_N-terminal_domain
PF05472.10 DNA_replication_terminus_site-binding_protein_(Ter_protein)
PF05099.12 Tellurite_resistance_protein_TerB
PF15101.5 Telomere-associated_protein_TERB2
PF15615.5 TerB-C_domain
PF13208.5 TerB_N-terminal_domain
PF03741.15 Integral_membrane_protein_TerC_family
PF02342.17 TerD_domain
PF16772.4 Telomeric_repeat-binding_factor_2_Rap1-binding_motif
PF03354.14 Phage_Terminase
PF03592.15 Terminase_small_subunit
PF04466.12 Phage_terminase_large_subunit
PF17288.1 Terminase_RNAseH_like_domain
PF05119.11 Phage_terminase,small_subunit
PF06056.11 Putative_ATPase_subunit_of_terminase_(gpP-like)
PF03237.14 Terminase-like_family
PF17289.1 Terminase_RNaseH-like_domain
PF05876.11 Phage_terminase_large_subunit_(GpA)
PF01397.20 Terpene_synthase,N-terminal_domain
PF03936.15 Terpene_synthase_family,metal_binding_domain
PF15616.5 TerY-C_metal_binding_domain
PF08034.10 Trematode_eggshell_synthesis_protein
PF08076.10 Tetracycline_resistance_determinant_leader_peptide
PF13972.5 Bacterial_transcriptional_repressor
PF11401.7 Tetrabrachion
PF08187.10 Myoactive_tetradecapeptides_family
PF00335.19 Tetraspanin_family
PF02909.16 Tetracyclin_repressor,C-terminal_all-alpha_domain
PF16295.4 Tetracycline_repressor,C-terminal_all-alpha_domain
PF16859.4 Bacterial_transcriptional_repressor_C-terminal
PF16914.4 Bacterial_transcriptional_repressor_C-terminal
PF16925.4 Bacterial_transcriptional_repressor_C-terminal
PF08361.10 MAATS-type_transcriptional_repressor,C-terminal_region
PF08362.10 YcdC-like_protein,C-terminal_region
PF08359.10 YsiA-like_protein,C-terminal_region
PF08360.10 QacR-like_protein,C-terminal_region
PF13977.5 BetI-type_transcriptional_repressor,C-terminal
PF14246.5 AefR-like_transcriptional_repressor,C-terminal_region
PF14278.5 Transcriptional_regulator_C-terminal_region
PF14514.5 Transcriptional_regulator,TetR,C-terminal
PF00440.22 Bacterial_regulatory_proteins,tetR_family
PF12851.6 Oxygenase_domain_of_the_2OGFeDO_superfamily
PF08050.11 Tetracycline_resistance_leader_peptide
PF15219.5 Testis-expressed_12
PF15186.5 Testis-expressed_sequence_13_protein_family
PF15326.5 Testis_expressed_sequence_15
PF15553.5 Testis-expressed_protein_19
PF15839.4 Testis-expressed_sequence_29_protein
PF15400.5 Testis-expressed_sequence_33_protein_family
PF09371.9 Tex-like_protein_N-terminal_domain
PF16921.4 Tex_protein_YqgF-like_domain
PF03849.13 Transcription_factor_Tfb2
PF03850.13 Transcription_factor_Tfb4
PF06331.11 Transcription_factor_TFIIH_complex_subunit_Tfb5
PF17110.4 Subunit_11_of_the_general_transcription_factor_TFIIH
PF12612.7 Tubulin_folding_cofactor_D_C_terminal
PF03153.12 Transcription_factor_IIA,alpha/beta_subunit
PF02751.13 Transcription_initiation_factor_IIA,gamma_subunit
PF02268.15 Transcription_initiation_factor_IIA,gamma_subunit,helical_domain
PF00382.18 Transcription_factor_TFIIB_repeat
PF02269.15 Transcription_initiation_factor_IID,18kD_subunit
PF02291.14 Transcription_initiation_factor_IID,31kD_subunit
PF03847.12 Transcription_initiation_factor_TFIID_subunit_A
PF03540.12 Transcription_initiation_factor_TFIID_23-30kDa_subunit
PF04494.14 WD40_associated_region_in_TFIID_subunit,NTD2_domain
PF11521.7 C-terminal_general_transcription_factor_TFIIE_alpha
PF02002.16 TFIIE_alpha_subunit
PF02186.14 TFIIE_beta_subunit_core_domain
PF05793.11 Transcription_initiation_factor_IIF,alpha_subunit_(TFIIF-alpha)
PF02270.14 Transcription_initiation_factor_IIF,beta_subunit
PF12657.6 Transcription_factor_IIIC_subunit_delta_N-term
PF10419.8 TFIIIC_subunit
PF01096.17 Transcription_factor_S-II_(TFIIS)
PF07500.13 Transcription_factor_S-II_(TFIIS),central_domain
PF04994.12 TfoX_C-terminal_domain
PF04993.12 TfoX_N-terminal_domain
PF04253.14 Transferrin_receptor-like_dimerisation_domain
PF07812.11 TfuA-like_protein
PF14601.5 DNA_binding_protein,TFX,C-term
PF03299.13 Transcription_factor_AP-2
PF03529.12 Otx1_transcription_factor
PF08271.11 TFIIB_zinc-binding
PF16683.4 Transglutaminase_elicitor
PF00688.17 TGF-beta_propeptide
PF00019.19 Transforming_growth_factor_beta_like_domain
PF08515.11 Transforming_growth_factor_beta_type_I_GS-motif
PF11476.7 Toxoplasma_gondii_micronemal_protein_1_TgMIC1
PF02824.20 TGS_domain
PF01702.17 Queuine_tRNA-ribosyltransferase
PF14809.5 C1_domain_of_tRNA-guanine_transglycosylase_dimerisation
PF14810.5 Patch-forming_domain_C2_of_tRNA-guanine_transglycosylase
PF04858.12 TH1_protein
PF15514.5 Restriction_endonuclease_ThaI
PF05485.11 THAP_domain
PF00314.16 Thaumatin_family
PF14789.5 Tetrahydrodipicolinate_N-succinyltransferase_middle
PF14790.5 Tetrahydrodipicolinate_N-succinyltransferase_N-terminal
PF14805.5 Tetrahydrodipicolinate_N-succinyltransferase_N-terminal
PF14912.5 Testicular_haploid_expressed_repeat
PF15834.4 Testis_highly_expressed_protein_4
PF05317.10 Thermopsin
PF00763.22 Tetrahydrofolate_dehydrogenase/cyclohydrolase,catalytic_domain
PF02882.18 Tetrahydrofolate_dehydrogenase/cyclohydrolase,NAD(P)-binding_domain
PF04446.11 tRNAHis_guanylyltransferase
PF14413.5 Thg1_C_terminal_domain
PF01946.16 Thi4_family
PF01910.16 Thiamine-binding_protein
PF09515.9 Thiamine_transporter_protein_(Thia_YuaJ)
PF13667.5 ThiC-associated_domain
PF01964.17 Radical_SAM_ThiC_family
PF00899.20 ThiF_family
PF05690.13 Thiazole_biosynthesis_protein_ThiG
PF02568.13 Thiamine_biosynthesis_protein_(ThiI)
PF17124.4 ThiJ/PfpI_family-like
PF00975.19 Thioesterase_domain
PF10569.8 Alpha-macro-globulin_thiol-ester_bond-forming_region
PF02803.17 Thiolase,C-terminal_domain
PF00108.22 Thiolase,N-terminal_domain
PF01289.18 Thiol-activated_cytolysin
PF17440.1 Thiol-activated_cytolysin_beta_sandwich_domain
PF00321.16 Plant_thionin
PF00085.19 Thioredoxin
PF13098.5 Thioredoxin-like_domain
PF13192.5 Thioredoxin_domain
PF13462.5 Thioredoxin
PF13743.5 Thioredoxin
PF13848.5 Thioredoxin-like_domain
PF13899.5 Thioredoxin-like
PF13905.5 Thioredoxin-like
PF14595.5 Thioredoxin
PF03190.14 Protein_of_unknown_function,DUF255
PF10120.8 Thiamine-phosphate_synthase
PF02597.19 ThiS_family
PF14453.5 ThiS-like_ubiquitin
PF09512.9 Thiamine-precursor_transporter_protein_(ThiW)
PF11262.7 Transcription_factor/nuclear_export_subunit_protein_2
PF11732.7 Transcription-_and_export-related_complex_subunit
PF16134.4 THO_complex_subunit_2_N-terminus
PF05615.12 Tho_complex_subunit_7
PF09432.9 Tho_complex_subunit_THP2
PF15440.5 THRAP3/BCLAF1_family
PF06738.11 Putative_threonine/serine_exporter
PF12821.6 Threonine/Serine_exporter,ThrE
PF09396.9 Thrombin_light_chain
PF00585.17 C-terminal_regulatory_domain_of_Threonine_dehydratase
PF14821.5 Threonine_synthase_N_terminus
PF04163.11 Tht1-like_nuclear_fusion_protein
PF06283.10 Trehalose_utilisation
PF02926.16 THUMP_domain
PF17070.4 30S_ribosomal_protein_Thx
PF02511.14 Thymidylate_synthase_complementing_protein
PF11264.7 Thylakoid_formation_protein
PF02223.16 Thymidylate_kinase
PF00303.18 Thymidylate_synthase
PF08198.10 Thymopoietin_protein
PF01290.19 Thymosin_beta-4_family
PF00086.17 Thyroglobulin_type-1_repeat
PF16597.4 Thyroglobulin_1_repeat_associated_disordered_domain
PF16940.4 Chloroplast_envelope_transporter
PF16166.4 Chloroplast_import_apparatus_Tic20-like
PF04278.11 Tic22-like_family
PF06200.13 tify_domain
PF01833.23 IPT/TIG_domain
PF01826.16 Trypsin_Inhibitor_like_cysteine_rich_domain
PF12714.6 TILa_domain
PF09179.10 TilS_substrate_binding_domain
PF11734.7 TilS_substrate_C-terminal_domain
PF00121.17 Triosephosphate_isomerase
PF02466.18 Tim17/Tim22/Tim23/Pmp24_family
PF08294.10 TIM21
PF10171.8 Translocase_of_the_Inner_Mitochondrial_membrane_29
PF04280.14 Tim44-like_domain
PF11711.7 Inner_membrane_protein_import_complex_subunit_Tim54
PF04821.13 Timeless_protein
PF05029.12 Timeless_protein_C_terminal_region
PF00965.16 Tissue_inhibitor_of_metalloproteinase
PF14973.5 TERF1-interacting_nuclear_factor_2_N-terminus
PF09680.9 Protein_of_unknown_function_(Tiny_TM_bacill)
PF08623.9 TATA-binding_protein_interacting_(TIP20)
PF14980.5 TIP39_peptide
PF04176.12 TIP41-like_family
PF06068.12 TIP49_C-terminus
PF16753.4 TNF-alpha-Inducing_protein_of_Helicobacter
PF07739.12 TipAS_antibiotic-recognition_domain
PF16972.4 Na+_channel_auxiliary_subunit_TipE
PF12457.7 Tuftelin_interacting_protein_N_terminal
PF01582.19 TIR_domain
PF10137.8 Predicted_nucleotide-binding_protein_containing_TIR-like_domain
PF13676.5 TIR_domain
PF07489.10 Translocated_intimin_receptor_(Tir)_C-terminus
PF03549.13 Translocated_intimin_receptor_(Tir)_intimin-binding_domain
PF07490.10 Translocated_intimin_receptor_(Tir)_N-terminus
PF04553.11 Tis11B_like_protein,N_terminus
PF13939.5 Toxin_TisB,type_I_toxin-antitoxin_system
PF01108.16 Tissue_factor
PF09042.10 Titin_Z
PF00265.17 Thymidine_kinase
PF03219.13 TLC_ATP/ADP_transporter
PF07534.15 TLD
PF03920.14 Groucho/TLE_N-terminal_Q-rich_domain
PF06088.10 Nucleopolyhedrovirus_telokin-like_protein-20_(TLP20)
PF00429.18 ENV_polyprotein_(coat_polyprotein)
PF14985.5 TM140_protein_family
PF08973.9 Domain_of_unknown_function_(DUF1893)
PF14512.5 Putative_TM_nitroreductase
PF05154.15 TM2_domain
PF10149.8 Transmembrane_protein_231
PF11176.7 Translation_machinery-associated_protein_16
PF09072.9 Translation_machinery_associated_TMA7
PF07810.12 TMC_domain
PF15844.4 Transmembrane_and_coiled-coil_domain-containing_protein_2
PF14992.5 TMCO5_family
PF09064.9 Thrombomodulin_like_fifth_domain,EGF-like
PF16311.4 Transmembrane_protein_100
PF15111.5 TMEM101_protein_family
PF14995.5 Transmembrane_protein
PF15759.4 TMEM108_family
PF15113.5 TMEM117_protein_family
PF15724.4 TMEM119_family
PF15109.5 TMEM125_protein_family
PF07114.10 Transmembrane_protein_126
PF12371.7 Transmembrane_protein_131-like
PF16070.4 Transmembrane_protein_family_132
PF15706.4 Mature_oligodendrocyte_transmembrane_protein,TMEM132D,C-term
PF15705.4 Mature_oligodendrocyte_transmembrane_protein,TMEM132D,N-term
PF15982.4 N-terminal_cysteine-rich_region_of_Transmembrane_protein_135
PF14935.5 Transmembrane_protein_138
PF15110.5 TMEM141_protein_family
PF07857.11 Transmembrane_family,TMEM144_of_transporters
PF14857.5 TMEM151_family
PF15102.5 TMEM154_protein_family
PF15106.5 TMEM156_protein_family
PF14808.5 TMEM164_family
PF15052.5 TMEM169_protein_family
PF15471.5 Transmembrane_protein_family_171
PF15009.5 Transmembrane_protein_173
PF15029.5 Transmembrane_protein_174
PF14770.5 Transmembrane_protein_18
PF15100.5 TMEM187_protein_family
PF10520.8 B_domain_of_TMEM189,localisation_domain
PF15431.5 Transmembrane_protein_190
PF15194.5 TMEM191C_family
PF14802.5 TMEM192_family
PF15122.5 TMEM206_protein_family
PF15195.5 TMEM210_family
PF15192.5 TMEM213_family
PF10151.8 TMEM214,C-terminal,caspase_4_activator
PF15746.4 TMEM215_family
PF14940.5 Transmembrane_219
PF15071.5 Transmembrane_family_220,helix
PF14640.5 Transmembrane_protein_223
PF15877.4 Transmembrane_protein_family_232
PF10639.8 Putative_transmembrane_family_234
PF15383.5 Transmembrane_protein_237
PF15125.5 TMEM238_protein_family
PF15841.4 Transmembrane_protein_239_family
PF15207.5 TMEM240_family
PF15444.5 Transmembrane_protein_247
PF15190.5 Transmembrane_protein_251
PF15664.4 Transmembrane_protein_252_family
PF09772.8 Transmembrane_protein_26
PF15108.5 Voltage-dependent_calcium_channel_gamma-like_subunit_protein_family
PF15817.4 Transmembrane_protein_40_family
PF07787.11 Transmembrane_protein_43
PF15345.5 Transmembrane_protein_51
PF14979.5 Transmembrane_52
PF15105.5 TMEM61_protein_family
PF10507.8 Transmembrane_protein_65
PF06979.11 Assembly,mitochondrial_proton-transport_ATP_synth_complex
PF15121.5 TMEM71_protein_family
PF16054.4 Transmembrane_protein_family_72
PF15816.4 Transmembrane_protein_82
